broad_id,smiles
BRD-K76022557-003-28-9,CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31
BRD-K75516118-001-04-1,COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1
BRD-K62353271-001-04-7,NC[C@H](CC(O)=O)c1ccc(Cl)cc1
BRD-K65856711-001-05-9,COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1
BRD-K89787693-001-01-1,CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O
BRD-K88956297-003-01-9,Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2
BRD-K01825681-050-02-9,C([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1 |&1:1|
BRD-A95802703-001-01-0,"CC(C)NC[C@@H](O)COc1cc(C)ccc1Cl |&1:5,r|"
BRD-K96055017-003-02-7,CN1CCN(CC1)C(C)=O
BRD-K03273112-001-01-8,Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1
BRD-K89665618-003-04-9,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O
BRD-K70586315-001-03-2,CCn1c2ccccc2[nH]c1=O
BRD-K08288352-001-03-6,CCN1CCCC1=O
BRD-K35114608-001-01-7,CCCCCCCCCCCCCCCC=O
BRD-K37203094-001-02-5,CCCCCCCCCCCCCCCCO
BRD-K29542628-001-03-9,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12
BRD-K03083257-001-01-6,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO
BRD-K09338665-001-08-9,CCCCCCCCO
BRD-K31491153-003-07-9,NC(N)=NC(=N)Nc1ccccc1
BRD-K04603573-376-01-3,CCNCCCNCCCCNCCCNCC
BRD-K06817181-001-02-3,BrC1C(Br)C(Br)C(Br)C(Br)C1Br
BRD-K41853443-001-03-9,CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1ccccc1
BRD-K22346679-001-06-3,OCCCCO
BRD-K53083666-001-01-0,O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O
BRD-K96631475-001-03-2,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C |t:33|
BRD-K70792160-003-04-6,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12
BRD-K63784565-001-08-9,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O
BRD-K49460120-001-06-6,CCc1ccc(\C=C2\SC(=S)NC2=O)cc1
BRD-K68552125-001-05-3,"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O |c:33,t:22|"
BRD-K30237152-300-02-5,CC(=N)NCc1cccc(CN)c1
BRD-K92301463-001-05-5,CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
BRD-K70264088-001-17-9,CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O |t:15|
BRD-K07395323-001-01-0,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1 |c:21|
BRD-A37752546-001-01-9,CCCCCCCCCCC[C@@H](N=O)c1cc(C)ccc1O |r|
BRD-K27853494-003-04-7,C[C@@H](N)[C@@H](O)c1ccccc1
BRD-K75167327-001-01-6,OC(=O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2
BRD-A66788520-001-01-7,"OC(=O)CC[C@@H](CCCS)C(O)=O |&1:5,r|"
BRD-K46989997-001-01-8,ClC=C1Nc2sc3CCCCc3c2C(=O)N1
BRD-K91868854-001-04-9,C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1
BRD-K32681104-001-11-6,Nc1ccccc1S(N)(=O)=O
BRD-K13346085-001-05-9,NCCOB(c1ccccc1)c1ccccc1
BRD-K22745370-003-02-3,C1CN=C(N1)c1cc2ccccc2o1 |c:2|
BRD-K70088346-001-02-4,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12
BRD-K79511609-001-20-0,Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
BRD-K84075000-001-06-9,Clc1cnccn1
BRD-K92588747-051-03-9,CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12 |t:8|
BRD-A55902763-001-01-3,"CN([NH2+][O-])C(=O)N[C@@H](C=O)[C@@H](O)[C@@H](O)[C@@H](O)CO |&1:7,&2:10,&3:12,&4:14,r|"
BRD-K97808269-001-02-7,OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O
BRD-K04843302-001-02-5,CCOc1ccccc1C(O)=O
BRD-A55455283-001-02-1,"CCC[C@@H](O)[C@@H](CC)CO |&1:3,&2:5,r|"
BRD-A53037300-001-01-0,"OC[C@H]1O[C@@H](O)[C@@H](F)[C@@H](O)[C@@H]1O |&1:2,&2:4,&3:6,&4:8,&5:10,r|"
BRD-K00004677-001-01-9,C[C@@H]1O[C@H](O)[C@@H](F)[C@H](O)[C@@H]1O |&1:3|
BRD-A52169337-001-01-9,"OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)[C@H]1C(=O)C(=C(O)\C=C\c2ccc(O)cc2)C(=O)[C@@](O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O |a:2,4,5,7,9,30,32,35,37,39,&1:11,&2:14,&3:28|"
BRD-K41866823-001-01-3,OCCOC(=O)c1ccccc1O
BRD-K82027074-001-08-3,CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O
BRD-A27924917-001-03-3,"NC[C@@](O)(CS(O)(=O)=O)c1ccc(Cl)cc1 |&1:2,r|"
BRD-K07954936-001-02-9,NC1=N[C@H]2CS[C@@H](CCCCC(O)=O)[C@H]2N1 |t:1|
BRD-K56634222-001-03-0,OC(=O)CNC(=O)c1ccccc1I
BRD-K25649279-001-03-9,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1
BRD-K44408410-001-21-8,COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O
BRD-K64137799-003-03-3,Cc1[nH]c2ccc(O)cc2c1CCN
BRD-K22327730-001-02-9,Cc1ccc(cc1O)[N+]([O-])=O
BRD-K68534611-001-07-8,Cc1ncc[nH]1
BRD-A51407134-001-02-7,"CCCCCCCCCC[C@@H](CO)CCCCCCCC |&1:10,r|"
BRD-K77087341-001-02-4,CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO
BRD-K89712525-001-03-9,OC(=O)CCC(=O)C(O)=O
BRD-K86587225-236-02-5,OC(=C)C(O)=O
BRD-K41869275-001-03-6,COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1
BRD-A04661934-001-03-9,"O=C1Nc2ccccc2C2=N[C@@H](CN3CCN(CC3)c3ccccc3)CN12 |&1:11,r,t:10|"
BRD-K17874705-300-04-0,NCCc1ccccn1
BRD-K89072800-001-02-9,Oc1ccc(\C=C(/C#N)C(=O)OCCc2cccs2)cc1O
BRD-K58819470-001-06-9,O=c1cc[nH]c(=S)[nH]1
BRD-K44602126-001-01-3,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)[C@@H]2O
BRD-A75263867-001-01-1,CC1(C)C2CC1[C@](C)(O)[C@H](O)C2
BRD-K61734568-003-03-9,OCCNCCCOc1cccc(Cl)c1Cl
BRD-K97833335-001-08-2,[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O
BRD-K21910317-001-12-3,Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
BRD-K29791386-001-01-8,OCc1ccc(CO)o1
BRD-A21276153-001-01-1,"C[C@H]1CCC[C@@H](C)N1 |&1:1,&2:5,r|"
BRD-K78092779-001-01-6,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c1[nH]c(N)nc2=O
BRD-K63932022-001-02-3,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc12
BRD-K00005345-001-01-9,OCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
BRD-K28343777-001-01-6,CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@]12C |t:16|
BRD-A55464252-001-01-2,"Cc1ccc(\C=C2\[C@H]3CC[C@@](C)(C2=O)C3(C)C)cc1 |&1:7,&2:10,r|"
BRD-K00004218-003-01-9,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(c1ccc(F)cc1)c1ccc(F)cc1 |&1:2,5,7|"
BRD-A43598550-001-09-4,"C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O |a:1,5,8,10,14,16,&1:4|"
BRD-K08703257-001-12-1,NC(=O)c1cccc(N)c1
BRD-K49721826-001-02-7,OCCCNc1ccccc1
BRD-K38370968-050-02-9,C=CCN1CCN(CC1)c1nc2ccccc2nc1C#N
BRD-K24689407-001-07-1,[O-][N+](=O)c1cccc2c(Br)[nH]nc12
BRD-K00004535-001-01-9,"[H][C@]1(Br)[C@@H]2CC[C@@](C)(C1=O)C2(C)C |&1:1,3,6|"
BRD-K92980438-001-05-8,OC(=O)C(O)=CBr
BRD-K76592088-001-02-1,N[C@@H](C(O)=O)c1ccc(O)c(c1)C(O)=O
BRD-K61585876-001-01-0,N[C@H](C(O)=O)c1ccc(O)c(c1)C(O)=O
BRD-K00004217-003-01-9,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)O[C@H](c1ccccc1)c1ccc(Cl)cc1 |&1:2,5,7,&2:10,r,THB:0:1:3.4:6.7.8|"
BRD-A79431551-001-01-1,"Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O |a:10,12,&1:15,&2:17|"
BRD-K77791657-001-01-1,Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O |t:13|
BRD-A26105646-001-06-1,"OC[C@H]1O[C@@H]([C@@H](O)[C@@H]1O)n1ccc(O)cc1=O |&1:2,&2:4,&3:5,&4:7,r|"
BRD-A66143912-001-01-1,"CC[C@@](O)(CC(N)=O)c1ccccc1 |&1:2,r|"
BRD-K43187796-001-02-3,OC(=O)CCCc1c[nH]c2ccccc12
BRD-A87125127-001-02-2,"Cc1cc(sc1[C@@H](N)C(O)=O)C(O)=O |&1:6,r|"
BRD-K01825682-074-02-9,C[C@@H](CN)CC(O)=O |&1:1|
BRD-K81647657-001-04-3,Cn1cnc(=N)c2[nH]cnc12
BRD-K62581435-001-04-9,COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1
BRD-K82903013-001-02-9,Clc1cccc(\C=N\N=C\c2cccc(Cl)c2)c1
BRD-K37846922-001-09-4,C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
BRD-A49947412-001-03-9,"N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O |&1:1,r|"
BRD-K06204668-001-03-9,N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O
BRD-K86305586-001-03-9,N[C@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O
BRD-K42205652-001-02-7,[O-][N+](=O)\C=C\c1ccc2OCOc2c1
BRD-K57796080-001-04-9,N[C@H](C(O)=O)c1cc(O)cc(O)c1
BRD-K45662124-050-02-3,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1
BRD-K58413118-001-01-8,O=C(\C=C\c1cccnc1)c1ccncc1
BRD-K47337578-034-03-3,Fc1ccc(cc1)C(=O)C1CCN(CCCCc2ccccc2)CC1
BRD-K00003517-001-01-9,NCc1ccc(cc1)C(O)=O
BRD-K97019106-005-02-9,CC(=O)N1CC[N+](C)(C)CC1
BRD-K65544384-001-15-8,Nc1ccc(cc1)C(=O)NCC(O)=O
BRD-A80383043-001-03-3,"N[C@@H](C(O)=O)c1ccc(C(O)=O)c(O)c1 |&1:1,r|"
BRD-K74133873-001-01-7,N[C@H](C(O)=O)c1ccc(C(O)=O)c(O)c1
BRD-K39160765-003-03-9,NC(=N)Nc1ccc(Cl)cc1
BRD-A54139254-001-10-9,"CC(C)[C@@H](C(=O)Nc1nccs1)c1ccc(Cl)cc1 |&1:3,r|"
BRD-K29313239-005-10-9,C[N+]1(C)CCC(CC1)OC(=O)C(c1ccccc1)c1ccccc1
BRD-A32796301-001-01-6,"OC[C@H]1O[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O |a:2,4,6,7,9,11,13,14,16,21,25,28,30,32,&1:18|"
BRD-K91758890-001-10-0,O=c1nc[nH]c2ccccc12
BRD-K49759007-001-12-9,Cc1c(O)c(=O)n(-c2ccccc2)n1C
BRD-K62537556-001-02-5,Ic1ccc(cc1)C(=O)NC1CCN(Cc2ccccc2)CC1
BRD-K25690923-001-02-4,Ic1cc(ncn1)-c1ccccc1
BRD-K66664625-001-02-9,N[C@H](Cc1ccc(I)cc1)C(O)=O
BRD-K73303757-001-21-6,COc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O
BRD-K70821460-300-02-4,Cc1nc[nH]c1CCN
BRD-K81316007-001-02-9,Cc1cc(=O)oc2c(C=O)c(O)ccc12
BRD-K00004224-001-01-9,"CCC(=O)N[C@H]1C[C@@H](c2ccccc2)c2ccccc2C1 |&1:5,7|"
BRD-K41024817-325-01-0,Oc1ccc(cc1)S(O)(=O)=O
BRD-A40504327-003-02-9,"C1NCc2ccccc2[C@@H]1c1ccccc1 |&1:9,r|"
BRD-K78061844-050-02-7,C(CCc1ccccc1)CN1CCC(CC1)c1ccccc1
BRD-K42108215-001-01-5,CCCc1ccc(cc1)C(O)=O
BRD-K04552268-001-02-4,N#Cc1ccncn1
BRD-K06338106-001-01-4,CC(C)(C)c1ccc(O)cc1
BRD-K49545903-003-01-4,C1CCC2(CC1)CCNCC2
BRD-K51799616-001-05-5,Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
BRD-K97118047-001-03-8,Brc1c(Br)c(Br)c2n[nH]nc2c1Br
BRD-A18598741-001-01-2,"NS(=O)(=O)c1ccc2N[C@@H]([C@H]3CC=C[C@@H]3c2c1)c1ccc(Br)cc1 |&1:9,&2:10,&3:14,r,c:12|"
BRD-K67173685-001-07-7,OC(=O)c1ccc(cc1)N1C(=O)\C(=C\c2ccc(o2)-c2ccc(cc2)[N+]([O-])=O)C=C1c1ccccc1 |c:31|
BRD-K00004308-001-01-9,OC(=O)C(Cc1ccccc1[N+]([O-])=O)=NNc1nc(cs1)-c1ccc(Cl)c(Cl)c1
BRD-K11773281-001-02-0,Cn1cc(cn1)-c1ccc(cc1)S(=O)(=O)n1ccc(\C=C\C(=O)Nc2ccccc2N)c1
BRD-K58146797-001-01-2,CCn1c(n[nH]c1=O)-c1ccc(Cl)cc1
BRD-K87535339-001-01-6,Nc1nc(=O)c2sc(=O)n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1
BRD-K57631554-003-07-0,NCC(=O)CCC(O)=O
BRD-K33690734-001-02-3,Brc1cccc(c1)C1=NCC(=O)Nc2c1oc1ccccc21 |t:8|
BRD-K92382976-050-02-9,NCCc1c[nH]c2ccc(cc12)C(N)=O
BRD-K73381198-001-01-1,OCc1cncc(F)c1
BRD-K00004679-001-01-9,Fc1cncnc1
BRD-K24844714-001-25-2,Fc1c[nH]c(=O)[nH]c1=O
BRD-K34437622-001-08-0,Fc1cnc(=O)[nH]c1
BRD-K86799112-001-04-6,OCc1ccc(C=O)o1
BRD-K01666923-236-01-9,CCCCC[C@@H](O)CCCC(O)=O |&1:5|
BRD-K03871161-001-01-9,CC1=NC[C@H](O)[C@H](N1)C(O)=O |t:1|
BRD-K24603946-001-05-9,CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C
BRD-A73930134-001-02-2,"N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(O)=O |&1:1,r|"
BRD-K90065682-300-03-4,Ic1cncc(OC[C@@H]2CCN2)c1
BRD-K45437867-005-04-1,Cc1ccc(C[N+](C)(C)C)o1
BRD-K06050544-001-03-1,C[C@H]1NC(=O)NC1=O
BRD-K56033645-001-07-5,C[C@@H]1NC(=O)NC1=O
BRD-K00004681-001-01-9,CCCCCCCC(=O)c1ccc(O)c(c1)C(O)=O
BRD-K60287130-001-06-5,OC(=O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1
BRD-K00004289-001-01-9,"O[C@@H]1[C@@H](CCl)O[C@H]([C@@H]1O)n1cnc2c(N[C@H]3C[C@@H]4CC[C@H]3C4)ncnc12 |a:1,2,6,7,&1:17,20,&2:15|"
BRD-K00656370-001-10-5,Nc1cc2c3ccccc3ccc2c2ccccc12
BRD-K30284967-001-01-8,CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(O)=O
BRD-K62929068-001-26-9,C(Nc1ncnc2nc[nH]c12)c1ccccc1
BRD-K34663752-001-10-9,COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl
BRD-K84924563-001-04-9,N[C@@H](CCC(=O)C[N+]#N)C(O)=O
BRD-K49236613-001-03-9,CCCCCCCCC(=O)NCc1cc(OC)c(O)cc1I
BRD-K48329353-001-03-9,"CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O |c:9,t:11|"
BRD-K65377893-001-08-2,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(O)=O |t:5|
BRD-K84214706-001-06-5,OC(=O)c1cc(=O)c2ccc(Cl)cc2[nH]1
BRD-K01826780-004-09-9,CCCN(CCC)[C@H]1CCc2ccc(O)cc2C1 |&1:7|
BRD-K01825667-050-01-9,CCCN(C\C=C\I)[C@H]1CCc2ccc(O)cc2C1 |&1:8|
BRD-K45293975-001-02-0,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4[C@H](O)NC(=O)c4c4c5ccccc5n2c4c13
BRD-K07785030-001-01-6,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3C(=O)C=C2C1 |c:24|
BRD-K53156626-001-01-3,COc1ccc2nc3CCCCc3c(N)c2c1
BRD-K41592905-001-01-6,Cn1cnc2[nH]c(=O)[nH]c(=O)c12
BRD-K04430056-001-18-5,[O-][N+](=O)c1cccc2c[nH]nc12
BRD-K77756533-001-01-4,O=C1N2CCCCC=C2Nc2ccccc12 |c:7|
BRD-A09554849-236-08-9,"Nc1ncnc2n([C@@H]3O[C@@H]4CO[P@](O)(=O)O[C@H]4[C@H]3O)c(Br)nc12 |a:7,9,16,17,&1:12|"
BRD-A00077618-236-08-9,"Nc1nc(=O)c2nc(Br)n([C@@H]3O[C@@H]4CO[P@](O)(=O)O[C@H]4[C@H]3O)c2[nH]1 |a:10,12,19,20,&1:15|"
BRD-K01826732-004-09-9,CCCN(CCC)[C@H]1CCc2cccc(O)c2C1 |&1:7|
BRD-A60594020-034-01-1,CCCN(C\C=C\I)[C@H]1CCc2cccc(O)c2C1 |&1:8|
BRD-A07232941-001-03-5,"CCC(=O)N[C@H]1CCc2cccc(OC)c2C1 |&1:5,r|"
BRD-K03044000-001-01-8,Cc1oc(=O)oc1CCl
BRD-K00535541-001-04-8,Nc1c2ccccc2nc2ccccc12
BRD-K09291936-001-13-3,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4cccc(N)c4cc3Cn1c2=O
BRD-K62607075-001-04-9,OC(=O)c1c2ccccc2cc2ccccc12
BRD-K70329400-001-02-5,COc1ccc2c(NC(=O)Nc3cccc(n3)C(F)(F)F)ccnc2c1
BRD-K59060513-001-02-5,OC(=O)c1ccccc1NC(=O)N1CCC(CC1)c1ccccc1C(F)(F)F
BRD-K38019854-323-01-4,OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(=O)N(Cc1cccc(Oc2ccccc2)c1)[C@H]1CCCc2ccccc12
BRD-A40302156-001-01-9,"CC(=O)N[C@@H]1N=C(c2ccccc2)c2ccccc2NC1=O |&1:4,r,t:5|"
BRD-K06182768-001-06-4,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1 |t:19|
BRD-K00005339-001-01-9,Cc1ccc(cc1C)N1CCN(Cc2nc3ccccc3[nH]2)CC1
BRD-K62066682-300-02-9,Cc1cccc(NC(=O)CN2CCC(CC2)c2ccccn2)c1
BRD-K13223831-003-01-7,Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl
BRD-K30233223-001-04-9,CNC(=O)Nc1ccc2c(CC[C@@]22OC(=O)N(CC(=O)N(Cc3ccc(F)cc3)[C@@H](C)C(F)(F)F)C2=O)c1
BRD-K79743788-001-01-2,CN1C[C@H]2CN(C[C@H]2C1)c1ccc(nn1)-c1ccccc1
BRD-K00004225-004-01-9,"CS(=O)(=O)Nc1c(O)ccc2[C@H](CCCc12)C1=NCCN1 |&1:11,r,t:18|"
BRD-K78177893-003-03-9,Cc1[nH]nc2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1
BRD-K03301001-003-03-3,NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
BRD-K41918892-001-06-7,Oc1ccccc1-c1ccc(cc1)-c1csc2[nH]c(=O)c(C#N)c(O)c12
