SMILES,PUBCHEM_ACTIVITY_OUTCOME
C1CCC(C1)(CC(=O)NC2=CC=CC=C2N3CCOCC3)CC(=O)O,0
CC1=CC(=NC2=C1C=CC(=C2)OC)SCC(=O)NC3CCCCC3,0
CCC(C)NC(=O)C(CC1=CC=CC=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC(=O)CC3,0
C1COCCN1C(=O)CSC2=C(C=C3C=C4C(=CC3=N2)OCCO4)C#N,0
CCCC1=CC=C(C=C1)S(=O)(=O)N/N=C\C2=CC3=C(C=C2)OCO3,0
CC(C)CCNC(=O)C1(CCOCC1)C2=CC=CS2,0
CC1CCN(CC1)C(C2=CC3=C(C=C2)OCO3)C(=O)NC4=CC=C(C=C4)C(C)C,0
COC1=CC=CC=C1N2CCN(CC2)C(=O)COC3=C(C=C(C=C3)Cl)Br,0
C1=CC=C(C=C1)P(=S)(C2=CC=CC=C2)N/N=C/C3=CC=CC=C3O,0
CCOC(=O)N1CCN(CC1)C(=O)C2=NOC(=C2)COC3=C(C=C(C=C3)F)F,0
CC1=NN2C=C(C=NC2=C1Br)C3=CC(=CC=C3)Cl,0
CC1=C(N=NN1C2=CC=CC(=C2)C#N)C(=O)C,0
CC1=CC(=CC=C1)N2C(=C(C(=O)NC2=O)C=NC3=CC=CC=C3N)O,0
CC1=C(C=CC(=C1)CN2CCN(CC2CCO)CC3=CC=C(O3)CO)OC,0
C1CCC2=C(C1)C(=NO2)C(=O)N3CCN(CC3)CC4=CC=CC=C4,0
CC(C)CC(C(=O)NCC1CCCO1)N(C2=CC=CC=C2F)C(=O)CN3N=C(N=N3)C4=CC=C(C=C4)F,0
CCOC(=O)C1=C(N(C(=O)NC1C2=C(N(N=C2C)C3=CC=CC=C3)C)C)C,0
C1C(=O)N(C=NC=N1)C2=C(C=C(C=C2)Cl)Cl,0
CCCCC(C)SC1=NC2=C(N1)C(=S)N(C(=O)N2C)C,0
CC(C)CC1C(=O)N(C(=O)N1)CC(=O)NC2=CC(=C(C(=C2)OC)OC)OC,0
CCOC1=CC=C(C=C1)S(=O)(=O)N2CCNC(=O)C2,0
CC1=CSC2=NC=C(C(=O)N12)C(=O)NC3=CC=CC=C3Cl,0
C1CCN(CC1)C2CCN(CC2)C(=O)C3=C(C4=CC=CC=C4O3)NC(=O)COC5=CC=C(C=C5)F,0
COC1=CC=CC=C1CC2=NC(=NO2)C3=CC=NC=C3,0
CN(C)S(=O)(=O)N1CCC(CC1)OC2=CC=CC(=C2)C(=O)NCCCC3CCCC3,0
CC1=C(C=CC(=C1)OCC(=O)OCC(=O)NC2CCCC2)Cl,0
CCOC1=CC=CC=C1NC(=O)C2=CC(=CC=C2)S(=O)(=O)N(CC3=CC=CC=C3)C4=CC=CC=C4OC,0
CCOC(=O)C1=C(SC2=C1CC(NC2(C)C)(C)C)NC(=O)C3=CC=C(C=C3)S(=O)(=O)N(C)CC4CCCO4,0
C1CSC(=S)N1C(=O)C2=CC=CC=C2,0
C1CN(CCN1C2=CC(=C(C=C2)Cl)Cl)C(=O)C3=CSC4=CC=CC=C43,0
COC1=CC(=C(C=C1)OC)/C=C/C(=O)NCCC2=NC3=CC=CC=C3N2,0
CN1CCN(CC1)C2=CC(=C(C=C2)N)N3CCN(CC3)C,0
CC(C1=CC=C(C=C1)OC)NS(=O)(=O)CC2=CC=CC=C2,0
C1=CC(=CC=C1N2C=C(N=N2)/C=N/O)Cl,0
C1CCCC(CCC1)NC(=O)CNC(=O)OCC2=CC=CC=C2,0
CC1=CC=C(C=C1)S(=O)(=O)NC2=CC3=C(C=C2)N(C(=N3)CCN4CCCCC4)C,0
CC1=CC=C(C=C1)NC(=O)CCN2CCN(CC2)C/C=C/C3=CC=CC=C3.Cl,0
CC1=CC(=NOC(=O)C2=CC=C(C=C2)OC)C=C(C1=O)C,0
CCOC1=CC=CC(=C1)N(C(C2=CN=CC=C2)C(=O)NC3CCCC3)C(=O)C4=CC=CO4,0
COC1=CC=C(C=C1)/C=C/2\C(=N)N3C(=NC2=O)SC(=N3)CC(=O)N4CCCCC4,0
CC1=CC=C(C=C1)CN(CCOC)C(=O)[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O,0
CS(=O)(=O)N(CC(=O)NCCSCC1=CC=CC=C1Cl)C2=CC=CC=C2F,0
CC1=CC(=C(C(=C1Cl)C)S(=O)(=O)NCC2=CC3=C(C=C2)OCO3)OC,0
CC12CCC(=O)N1C(CS2)C(=O)NC3=NN=C(S3)SCC4=CC=C(C=C4)F,0
CC(C)C1=CC=CC=C1OCC(=O)NN2C(=O)C3=CC=CC=C3C2=O,0
CCCC(C)NNC(=O)C1=CC2=CC=CC=C2N1,0
CCCNC1=NC(=NC(=N1)OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,0
C1CCN(CC1)C(=O)CSC2=NC(=C(O2)C3=CC=CC=C3)C4=CC=CC=C4,0
C1=CC(=CC=C1C2/C(=C(/C3=CC=C(C=C3)Br)\O)/C(=O)C(=O)N2CCCO)Br,0
CCN1C2=CC=CC=C2N=C1CNC(=O)COC,0
COC1=CC(=CC=C1)OCC(=O)NN=C2C3=CC=CC=C3C4=CC=CC=C42,0
CC1=C(C(=CC=C1)NC(=O)C2=NNC(=C2Br)[N+](=O)[O-])C,0
CC1CCN(CC1)C(=O)C2CCN(CC2)CC3=CC(=CC=C3)OC.C(=O)(C(=O)O)O,0
CCOC1=C(C=C(C=C1)CCNC(=O)C2CCN(CC2)S(=O)(=O)N3CCCCC3)OCC,0
C[C@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)NC(C)C)O[C@@H]1CN(C)S(=O)(=O)C3=CN(C=N3)C)[C@H](C)CO,0
COC1=CC(=NN(C1=O)C2=CC=CC=C2)Cl,0
C=CCCCCCCCCC(=O)NNC1CC(=O)N(C1=O)C2=CC=CC=C2,0
COC1=C(C(=CC=C1)OC)C(=O)NC2=NC(=CS2)C3=CC=CC=C3,0
CC(=O)C1=CC=CC=C1C(=O)N2CCCC(C2)N3CCN(CC3)CC4=CC5=C(C=C4)OCO5,0
C1=CC=C(C(=C1)N2C=C(C(=N2)N)C3=NNN=N3)Cl,0
COC1=CC=C(C=C1)N(C(C2=CC=CS2)C(=O)NC3CCCC3)C(=O)C4=CC=CO4,0
CCC(=O)NC1=NC(=CS1)C2=CC3=C(C=C2)N(C(C3)C)S(=O)(=O)C,0
CC1=CC=CN2C1=NC3=C(C2=O)CC4(C5N3CCC(C5)CC6=CC=CC=C6)C(=O)N(C(=O)N(C4=O)C)C,0
C1=CC=C(C(=C1)[N+](=O)[O-])OCC(=O)OCC(=O)C2=CC=C(S2)Br,0
CCN(CC)CCN(C1=NC2=C(C=CC(=C2S1)OC)OC)C(=O)C3=CC=C(C=C3)S(=O)(=O)N(CC)C4=CC=CC=C4.Cl,0
COC1=C(C=CC(=C1)C(C#N)N2CCOCC2)O,0
CC1=CC=CC=C1SCC(=O)N/N=C/C2=CC=C(C=C2)F,0
