smiles,PUBCHEM_ACTIVITY_OUTCOME
CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31,0.9951834082603455
COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1,0.03167879208922386
NC[C@H](CC(O)=O)c1ccc(Cl)cc1,0.04703274741768837
COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1,0.03170192614197731
CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,0.01591688208281994
Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2,2.8451076486201788e-15
C([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1 |&1:1|,0.7542268633842468
"CC(C)NC[C@@H](O)COc1cc(C)ccc1Cl |&1:5,r|",0.11999251693487167
CN1CCN(CC1)C(C)=O,0.0343548022210598
Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1,0.02201530523598194
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,0.3626868724822998
CCn1c2ccccc2[nH]c1=O,0.015483332797884941
CCN1CCCC1=O,0.00038039186620153487
CCCCCCCCCCCCCCCC=O,0.6631534099578857
CCCCCCCCCCCCCCCCO,0.7605307698249817
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12,0.2542145550251007
CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,0.9067338109016418
CCCCCCCCO,0.1425468772649765
NC(N)=NC(=N)Nc1ccccc1,0.27586475014686584
CCNCCCNCCCCNCCCNCC,0.0030551159288734198
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,1.6875617347977823e-08
CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1ccccc1,0.00742756761610508
OCCCCO,0.00013836620200891048
O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O,0.808418333530426
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C |t:33|,0.003277356503531337
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12,0.2115878164768219
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,0.05109727755188942
CCc1ccc(\C=C2\SC(=S)NC2=O)cc1,0.08157692849636078
"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O |c:33,t:22|",0.00886446051299572
CC(=N)NCc1cccc(CN)c1,0.006245200056582689
CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,0.0003290052409283817
CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O |t:15|,0.14719246327877045
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1 |c:21|,0.5633804202079773
CCCCCCCCCCC[C@@H](N=O)c1cc(C)ccc1O |r|,0.5298793315887451
C[C@@H](N)[C@@H](O)c1ccccc1,0.9794327020645142
OC(=O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2,0.00012405549932736903
"OC(=O)CC[C@@H](CCCS)C(O)=O |&1:5,r|",0.0035303763579577208
ClC=C1Nc2sc3CCCCc3c2C(=O)N1,0.05827450007200241
C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1,0.9390782713890076
Nc1ccccc1S(N)(=O)=O,0.06736385077238083
NCCOB(c1ccccc1)c1ccccc1,0.08478676527738571
C1CN=C(N1)c1cc2ccccc2o1 |c:2|,0.08639102429151535
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12,0.006153651047497988
Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.0033528890926390886
Clc1cnccn1,0.001405050395987928
CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12 |t:8|,0.6645885705947876
"CN([NH2+][O-])C(=O)N[C@@H](C=O)[C@@H](O)[C@@H](O)[C@@H](O)CO |&1:7,&2:10,&3:12,&4:14,r|",3.742892658920027e-05
OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,0.008877964690327644
CCOc1ccccc1C(O)=O,0.010061977431178093
"CCC[C@@H](O)[C@@H](CC)CO |&1:3,&2:5,r|",0.011523695662617683
"OC[C@H]1O[C@@H](O)[C@@H](F)[C@@H](O)[C@@H]1O |&1:2,&2:4,&3:6,&4:8,&5:10,r|",0.23679032921791077
C[C@@H]1O[C@H](O)[C@@H](F)[C@H](O)[C@@H]1O |&1:3|,0.031820278614759445
"OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)[C@H]1C(=O)C(=C(O)\C=C\c2ccc(O)cc2)C(=O)[C@@](O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O |a:2,4,5,7,9,30,32,35,37,39,&1:11,&2:14,&3:28|",0.5158392786979675
OCCOC(=O)c1ccccc1O,0.008288509212434292
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,0.03870680555701256
"NC[C@@](O)(CS(O)(=O)=O)c1ccc(Cl)cc1 |&1:2,r|",0.20809480547904968
NC1=N[C@H]2CS[C@@H](CCCCC(O)=O)[C@H]2N1 |t:1|,0.0024001512210816145
