smiles,PUBCHEM_ACTIVITY_OUTCOME,broad_id
NCCc1cc(O)c(O)cc1O,0.9980396628379822,BRD-K41809988-004-10-9
OC[C@@H](O)CN1CCN(CC1)c1ccccc1,0.9977062940597534,BRD-K83551379-001-03-9
"OC[C@@H](O)CN1CCN(CC1)c1ccccc1 |&1:2,r|",0.9977062940597534,BRD-A29349577-001-23-0
"O[C@@H](CNCCCCCCNC[C@@H](O)c1ccc(O)c(O)c1)c1ccc(O)c(O)c1 |&1:1,&2:12|",0.9974513649940492,BRD-A33894669-065-01-9
"CC[C@@H](N)[C@@H](O)c1ccc(O)c(O)c1 |&1:2,&2:4|",0.9971240162849426,BRD-A68509429-003-03-9
Oc1cc2CCN(CC=C)C[C@@H](c3ccccc3)c2cc1O |&1:11|,0.9971031546592712,BRD-A64227845-004-10-9
CCCN(CCC)[C@H]1CCc2cccc(O)c2C1 |&1:7|,0.9968690276145936,BRD-K01826732-004-09-9
C(COc1ccc2OCOc2c1)CN1CCN(CC1)c1ccccc1,0.9968396425247192,BRD-K45479396-050-02-3
CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,0.9967511892318726,BRD-K91111634-003-01-8
NCCc1ccc(O)c(O)c1,0.9967010617256165,BRD-K43887077-003-26-3
C1C(Cc2ccccc12)N1CCN(CC1)c1cccc2OCCOc12,0.9965484738349916,BRD-K00004653-001-01-9
CCCN(CCC)[C@H]1CCc2ccc(O)cc2C1 |&1:7|,0.9959318041801452,BRD-K01826780-004-09-9
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,0.9954938888549804,BRD-K02976377-001-08-2
"C[C@@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1 |&1:1,&2:11,r|",0.995353937149048,BRD-A87130939-001-07-9
COc1ccccc1N1CCN(C[C@@H](O)COc2cccc3ccccc23)CC1 |&1:13|,0.995209276676178,BRD-K01826561-003-17-9
CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31,0.9951834082603456,BRD-K76022557-003-28-9
NC[C@H](O)c1ccc(O)c(O)c1,0.9948112964630128,BRD-K87349682-347-08-9
CCCN1CCC[C@@H](C1)c1cccc(O)c1,0.9943780303001404,BRD-K02908048-003-06-4
CNCCc1ccc(O)c(O)c1,0.9920050501823424,BRD-K33151569-003-09-7
C(CCc1ccccc1)CN1CCC(CC1)c1ccccc1,0.9918164610862732,BRD-K78061844-050-02-7
Fc1ccc(cc1)C(=O)CCCN1CCN(CC1)c1ccccn1,0.990222692489624,BRD-K45861246-001-17-9
Oc1ccc(O)cc1,0.9894436597824096,BRD-K11227669-001-07-8
CN1CCN(CC1)c1ccc2ccccc2n1,0.9890090823173524,BRD-K62056274-332-02-9
"COc1ccccc1N1CCN(C[C@@H](O)COc2cc(OC)c(OC)c(OC)c2)CC1 |&1:13,r|",0.989003837108612,BRD-A62197763-001-01-1
Cc1cccc(c1)N1CCN(CCc2ccc3ccccc3n2)CC1,0.988580286502838,BRD-K00004619-001-01-9
CCCN(C\C=C\I)[C@H]1CCc2cccc(O)c2C1 |&1:8|,0.986647129058838,BRD-A60594020-034-01-1
C[C@@H](N)Cc1c[nH]c2ccc(O)cc12 |&1:1|,0.985080063343048,BRD-K01826806-050-02-9
C(N1CCN(CC1)c1ccccn1)c1nc2ccccc2[nH]1,0.9850207567214966,BRD-K37714784-305-02-1
O[V](O)(O)=O,0.9843607544898988,BRD-K60600693-314-02-4
"CCC(=O)c1ccc(OC[C@@H](O)CN2CCN(CC2)c2ccccc2)cc1 |&1:10,r|",0.984281599521637,BRD-A28958257-001-02-0
C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(CC1)c1ccccc1,0.9840304851531982,BRD-K38158531-001-02-1
"CC1(C)[C@@H]2CC[C@@]1(C)C(=O)N(CCCCN1CCN(CC1)c1ccccn1)C2=O |&1:3,6|",0.983681321144104,BRD-K00004544-001-01-9
C[C@@H](N)Cc1ccc(O)cc1 |&1:1|,0.9833717942237854,BRD-A80871782-004-06-9
