smiles,PUBCHEM_ACTIVITY_OUTCOME
CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31,0.7374319434165955
COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1,0.01600993610918522
NC[C@H](CC(O)=O)c1ccc(Cl)cc1,0.006917533464729786
COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1,0.01847657933831215
CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,0.008240211755037308
Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2,2.3232581136678476e-10
C([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1 |&1:1|,0.006156226620078087
"CC(C)NC[C@@H](O)COc1cc(C)ccc1Cl |&1:5,r|",0.0036014241632074118
CN1CCN(CC1)C(C)=O,0.005680356174707413
Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1,0.006425578612834215
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,0.015687553212046623
CCn1c2ccccc2[nH]c1=O,0.0101962024345994
CCN1CCCC1=O,0.003246159525588155
CCCCCCCCCCCCCCCC=O,0.005272220820188522
CCCCCCCCCCCCCCCCO,0.008587348274886608
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12,0.009406118653714657
CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,0.008542759343981743
CCCCCCCCO,0.008744511753320694
NC(N)=NC(=N)Nc1ccccc1,0.00814469251781702
CCNCCCNCCCCNCCCNCC,0.0029413450974971056
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,0.00029117095982655883
CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1ccccc1,0.027136921882629395
OCCCCO,0.020474741235375404
O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O,0.08851783722639084
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C |t:33|,0.03862530365586281
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12,0.0033497100230306387
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,0.013991826213896275
CCc1ccc(\C=C2\SC(=S)NC2=O)cc1,0.006939213257282972
"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O |c:33,t:22|",0.02091021090745926
CC(=N)NCc1cccc(CN)c1,0.00723356194794178
CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,0.016774136573076248
CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O |t:15|,0.01680273376405239
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1 |c:21|,0.021052228286862373
CCCCCCCCCCC[C@@H](N=O)c1cc(C)ccc1O |r|,0.005273181013762951
C[C@@H](N)[C@@H](O)c1ccccc1,0.04032021015882492
OC(=O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2,0.007816003635525703
"OC(=O)CC[C@@H](CCCS)C(O)=O |&1:5,r|",0.004141794517636299
ClC=C1Nc2sc3CCCCc3c2C(=O)N1,0.01129966601729393
C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1,0.21287336945533752
Nc1ccccc1S(N)(=O)=O,0.005426912102848291
NCCOB(c1ccccc1)c1ccccc1,0.002436054637655616
C1CN=C(N1)c1cc2ccccc2o1 |c:2|,0.008188223466277122
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12,0.03430996462702751
Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.030207792297005653
Clc1cnccn1,0.005291368346661329
CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12 |t:8|,0.00997689925134182
"CN([NH2+][O-])C(=O)N[C@@H](C=O)[C@@H](O)[C@@H](O)[C@@H](O)CO |&1:7,&2:10,&3:12,&4:14,r|",6.570115118620379e-09
OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,0.6692970395088196
CCOc1ccccc1C(O)=O,0.005002593155950308
"CCC[C@@H](O)[C@@H](CC)CO |&1:3,&2:5,r|",0.013041230849921703
"OC[C@H]1O[C@@H](O)[C@@H](F)[C@@H](O)[C@@H]1O |&1:2,&2:4,&3:6,&4:8,&5:10,r|",0.530559778213501
C[C@@H]1O[C@H](O)[C@@H](F)[C@H](O)[C@@H]1O |&1:3|,0.058795250952243805
"OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)[C@H]1C(=O)C(=C(O)\C=C\c2ccc(O)cc2)C(=O)[C@@](O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O |a:2,4,5,7,9,30,32,35,37,39,&1:11,&2:14,&3:28|",0.07946785539388657
OCCOC(=O)c1ccccc1O,0.0035506815183907747
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,0.028689119964838028
"NC[C@@](O)(CS(O)(=O)=O)c1ccc(Cl)cc1 |&1:2,r|",0.07325287163257599
NC1=N[C@H]2CS[C@@H](CCCCC(O)=O)[C@H]2N1 |t:1|,0.023303929716348648
OC(=O)CNC(=O)c1ccccc1I,0.004541666712611914
COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,0.011793280951678753
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O,0.03557370975613594
Cc1[nH]c2ccc(O)cc2c1CCN,0.03604315593838692
Cc1ccc(cc1O)[N+]([O-])=O,0.007874459959566593
Cc1ncc[nH]1,0.01071604248136282
"CCCCCCCCCC[C@@H](CO)CCCCCCCC |&1:10,r|",0.010906246490776539
CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO,0.022403638809919357
OC(=O)CCC(=O)C(O)=O,0.02074258401989937
OC(=C)C(O)=O,0.04847337678074837
COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1,0.006691098213195801
"O=C1Nc2ccccc2C2=N[C@@H](CN3CCN(CC3)c3ccccc3)CN12 |&1:11,r,t:10|",0.04086733236908913
NCCc1ccccn1,0.014815951697528362
Oc1ccc(\C=C(/C#N)C(=O)OCCc2cccs2)cc1O,0.013161138631403446
O=c1cc[nH]c(=S)[nH]1,0.023211417719721794
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)[C@@H]2O,0.024022437632083893
CC1(C)C2CC1[C@](C)(O)[C@H](O)C2,0.051233820617198944
OCCNCCCOc1cccc(Cl)c1Cl,0.004360860213637352
[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O,0.010449212044477463
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,0.010673381388187408
OCc1ccc(CO)o1,0.002299523912370205
"C[C@H]1CCC[C@@H](C)N1 |&1:1,&2:5,r|",4.632183481589891e-05
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c1[nH]c(N)nc2=O,0.26052990555763245
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc12,0.14066292345523834
OCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,0.0030297054909169674
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@]12C |t:16|,0.03220009431242943
"Cc1ccc(\C=C2\[C@H]3CC[C@@](C)(C2=O)C3(C)C)cc1 |&1:7,&2:10,r|",0.02487492933869362
"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(c1ccc(F)cc1)c1ccc(F)cc1 |&1:2,5,7|",0.01201178040355444
"C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O |a:1,5,8,10,14,16,&1:4|",0.03240111470222473
NC(=O)c1cccc(N)c1,0.005632342305034399
OCCCNc1ccccc1,0.004250401630997658
C=CCN1CCN(CC1)c1nc2ccccc2nc1C#N,0.07133263349533081
[O-][N+](=O)c1cccc2c(Br)[nH]nc12,0.004200328607112169
"[H][C@]1(Br)[C@@H]2CC[C@@](C)(C1=O)C2(C)C |&1:1,3,6|",0.13172899186611176
OC(=O)C(O)=CBr,0.5269536375999451
N[C@@H](C(O)=O)c1ccc(O)c(c1)C(O)=O,0.006537328474223614
N[C@H](C(O)=O)c1ccc(O)c(c1)C(O)=O,0.005388785619288683
"CN1[C@H]2CC[C@@H]1C[C@@H](C2)O[C@H](c1ccccc1)c1ccc(Cl)cc1 |&1:2,5,7,&2:10,r,THB:0:1:3.4:6.7.8|",0.014562063850462437
"Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O |a:10,12,&1:15,&2:17|",0.01897309347987175
Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O |t:13|,0.0316208191215992
"OC[C@H]1O[C@@H]([C@@H](O)[C@@H]1O)n1ccc(O)cc1=O |&1:2,&2:4,&3:5,&4:7,r|",0.13443812727928162
"CC[C@@](O)(CC(N)=O)c1ccccc1 |&1:2,r|",0.015025809407234192
OC(=O)CCCc1c[nH]c2ccccc12,0.019602220505475998
"Cc1cc(sc1[C@@H](N)C(O)=O)C(O)=O |&1:6,r|",0.004859644453972578
C[C@@H](CN)CC(O)=O |&1:1|,0.08678265661001205
Cn1cnc(=N)c2[nH]cnc12,0.014347532764077187
COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1,0.053317781537771225
Clc1cccc(\C=N\N=C\c2cccc(Cl)c2)c1,0.001774949487298727
C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,0.03254563733935356
"N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O |&1:1,r|",0.007547076791524887
N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O,0.007547076791524887
N[C@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O,0.006376747973263264
[O-][N+](=O)\C=C\c1ccc2OCOc2c1,0.005533925723284483
N[C@H](C(O)=O)c1cc(O)cc(O)c1,0.00352372950874269
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1,0.009189060889184475
O=C(\C=C\c1cccnc1)c1ccncc1,0.0059557510539889336
Fc1ccc(cc1)C(=O)C1CCN(CCCCc2ccccc2)CC1,0.007208249066025019
NCc1ccc(cc1)C(O)=O,0.01099994033575058
CC(=O)N1CC[N+](C)(C)CC1,1.5939652087126888e-07
Nc1ccc(cc1)C(=O)NCC(O)=O,0.006799627561122179
"N[C@@H](C(O)=O)c1ccc(C(O)=O)c(O)c1 |&1:1,r|",0.006167732644826174
N[C@H](C(O)=O)c1ccc(C(O)=O)c(O)c1,0.005099738482385874
NC(=N)Nc1ccc(Cl)cc1,0.0068248240277171135
"CC(C)[C@@H](C(=O)Nc1nccs1)c1ccc(Cl)cc1 |&1:3,r|",0.007117229048162699
C[N+]1(C)CCC(CC1)OC(=O)C(c1ccccc1)c1ccccc1,0.00012879399582743645
"OC[C@H]1O[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O |a:2,4,6,7,9,11,13,14,16,21,25,28,30,32,&1:18|",0.10808221995830536
O=c1nc[nH]c2ccccc12,0.026355700567364693
Cc1c(O)c(=O)n(-c2ccccc2)n1C,0.005214871373027563
Ic1ccc(cc1)C(=O)NC1CCN(Cc2ccccc2)CC1,0.006480682175606489
Ic1cc(ncn1)-c1ccccc1,0.008299310691654682
N[C@H](Cc1ccc(I)cc1)C(O)=O,0.0015584618085995317
COc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O,0.00636761449277401
Cc1nc[nH]c1CCN,0.015875117853283882
Cc1cc(=O)oc2c(C=O)c(O)ccc12,0.005124818067997694
"CCC(=O)N[C@H]1C[C@@H](c2ccccc2)c2ccccc2C1 |&1:5,7|",0.012638520449399948
Oc1ccc(cc1)S(O)(=O)=O,0.00890315417200327
"C1NCc2ccccc2[C@@H]1c1ccccc1 |&1:9,r|",0.05645425245165825
C(CCc1ccccc1)CN1CCC(CC1)c1ccccc1,0.013563130982220173
CCCc1ccc(cc1)C(O)=O,0.027894772589206696
N#Cc1ccncn1,0.0065207816660404205
CC(C)(C)c1ccc(O)cc1,0.010606076568365097
C1CCC2(CC1)CCNCC2,0.04696599766612053
Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,0.005177678540349007
Brc1c(Br)c(Br)c2n[nH]nc2c1Br,0.0007186287548393011
"NS(=O)(=O)c1ccc2N[C@@H]([C@H]3CC=C[C@@H]3c2c1)c1ccc(Br)cc1 |&1:9,&2:10,&3:14,r,c:12|",0.00811914261430502
OC(=O)c1ccc(cc1)N1C(=O)\C(=C\c2ccc(o2)-c2ccc(cc2)[N+]([O-])=O)C=C1c1ccccc1 |c:31|,0.006349923554807901
OC(=O)C(Cc1ccccc1[N+]([O-])=O)=NNc1nc(cs1)-c1ccc(Cl)c(Cl)c1,0.009085487574338913
Cn1cc(cn1)-c1ccc(cc1)S(=O)(=O)n1ccc(\C=C\C(=O)Nc2ccccc2N)c1,0.004638064652681351
CCn1c(n[nH]c1=O)-c1ccc(Cl)cc1,0.005822835490107536
Nc1nc(=O)c2sc(=O)n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,0.03096531145274639
NCC(=O)CCC(O)=O,0.008377180434763432
Brc1cccc(c1)C1=NCC(=O)Nc2c1oc1ccccc21 |t:8|,0.004852720070630312
NCCc1c[nH]c2ccc(cc12)C(N)=O,0.18845826387405396
OCc1cncc(F)c1,0.003977026790380478
Fc1cncnc1,0.00656712893396616
