smiles,PUBCHEM_ACTIVITY_OUTCOME,broad_id
CN1C[C@@H](C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,0.9756100177764891,BRD-K72166146-066-06-2
CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13,0.95781272649765,BRD-K60770992-066-27-9
"C[C@@H](O)CO |&1:1,r|",0.9560434222221376,BRD-A19232309-001-08-6
CN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O |c:4|,0.9554343223571776,BRD-K15380626-046-02-9
"N.C[C@@H](O)C(O)=O |&1:2,r|",0.9497822523117064,BRD-M29182745-001-01-4
[Bi].[Bi].OC(=O)C(O)=O.OC(=O)C(O)=O.OC(=O)C(O)=O,0.9464595317840576,BRD-M02179497-001-01-1
CCCN(CCC)[C@H]1CCc2cccc(O)c2C1 |&1:7|,0.9309895634651184,BRD-K01826732-004-09-9
C[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34 |c:22|,0.9281437993049622,BRD-K17311468-050-01-7
CCCN(CCC)[C@H]1CCc2ccc(O)cc2C1 |&1:7|,0.919228196144104,BRD-K01826780-004-09-9
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,0.916688084602356,BRD-K97440753-066-19-9
"CCN(CC)C(=O)N[C@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(C)C1 |a:8,&1:10,&2:11|",0.90768963098526,BRD-A89207210-001-01-6
OP(O)(F)=O,0.8971748352050781,BRD-K99308954-304-03-2
"O[C@@H](CNCCCCCCNC[C@@H](O)c1ccc(O)c(O)c1)c1ccc(O)c(O)c1 |&1:1,&2:12|",0.888994038105011,BRD-A33894669-065-01-9
CNCCc1ccc(O)c(O)c1,0.8734988570213318,BRD-K33151569-003-09-7
Nc1nc2CCN(CC=C)CCc2s1,0.8601689338684082,BRD-K75615183-300-04-7
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C |c:28|,0.8307594060897827,BRD-K14496212-066-03-0
OC(=O)\C=C/c1cnc[nH]1,0.8282510638237,BRD-K25146005-001-01-0
OC(=O)C1=CCNCC1 |t:3|,0.8240724205970764,BRD-K66480997-003-10-0
Oc1ccc(C(=O)c2cc(O)c(O)c(O)c2)c(O)c1O,0.7961390018463135,BRD-K65716359-001-04-7
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34 |c:23|,0.784999668598175,BRD-K34685430-050-13-9
CCCN1CCC[C@@H](C1)c1cccc(O)c1,0.7400578856468201,BRD-K02908048-003-06-4
CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31,0.7374319434165955,BRD-K76022557-003-28-9
Oc1cc2CCN(CC=C)C[C@@H](c3ccccc3)c2cc1O |&1:11|,0.7251511812210083,BRD-A64227845-004-10-9
NCCc1ccc(O)c(O)c1,0.7100948095321655,BRD-K43887077-003-26-3
C[C@@H](N)Cc1c[nH]c2ccc(O)cc12 |&1:1|,0.6970146894454956,BRD-K01826806-050-02-9
OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,0.6692970395088196,BRD-K97808269-001-02-7
OC(=O)C=C(O)C(O)=O,0.667090654373169,BRD-K61279411-001-03-8
Oc1ccc(cc1)[C@H]1CNCCc2c(Cl)c(O)c(O)cc12 |&1:7|,0.6620935201644897,BRD-K01826790-066-06-9
CCCN1CCO[C@H]2[C@H]1CCc1ccc(O)cc21,0.6563171148300171,BRD-K00004670-001-01-9
Oc1cc2CCNC[C@@H](c3ccccc3)c2cc1O |&1:8|,0.6378633379936218,BRD-K01826815-004-03-9
CN1Cc2ccccc2[C@H]2[C@H]1Cc1c[nH]c3cccc2c13,0.6295915246009827,BRD-K79353516-001-05-0
CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,0.6287873387336731,BRD-K91111634-003-01-8
Cn1c2CCNCCc2c2ccccc12,0.6121565103530884,BRD-K16551401-003-03-4
NCCc1cc(O)c(O)cc1O,0.6054102778434753,BRD-K41809988-004-10-9
OC(=O)C(Cl)(Cl)Cl,0.593603253364563,BRD-K42090719-001-07-3
CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O,0.5914181470870972,BRD-K11905747-300-11-3
