PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Activation at 7.6 uM,Standard Deviation,Activation at 7.6 uM [1],Activation at 7.6 uM [2],Activation at 7.6 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent activation of the confirmation screen at a compound concentration of 7.6 uM.,Standard deviation derived from the normalized percent activation of the triplicate data for each compound,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [1].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [2].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [3].
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,7.6,,7.6,7.6,7.6
1,56463199,11957566,Active,100,,,179.13,13.903,165.991,198.366,173.028
2,56463291,16219016,Active,97,,,174.28,19.2319,193.587,181.207,148.034
3,46500349,23640911,Active,95,,,171.02,14.6551,151.428,174.977,186.666
4,85273743,55397,Active,95,,,170.53,8.62722,164.413,164.447,182.731
5,56463619,5282106,Active,95,,,170.21,12.8275,176.306,181.961,152.367
6,85273741,3038520,Active,94,,,168.98,17.0472,192.62,161.261,153.061
7,47195871,11957524,Active,93,,,167.29,6.63015,158.268,174.016,169.579
8,11532860,6852374,Active,91,,,164.74,12.8562,148.268,166.305,179.641
9,46500375,11957671,Active,91,,,164.17,6.30044,172.838,158.041,161.643
10,56320842,86470,Active,90,,,161.23,9.27025,173.619,158.742,151.323
11,56463191,11957668,Active,89,,,160.94,5.56501,156.067,158.023,168.728
12,56422469,47812,Active,89,,,160.21,3.7697,154.881,162.762,162.988
13,93576602,45479730,Active,86,,,154.7,25.2369,148.574,127.314,188.214
14,85273720,44246707,Active,85,,,152.74,5.26518,158.502,145.773,153.931
15,56463746,11957526,Active,85,,,152.65,16.5091,163.467,129.323,165.16
16,46500357,11957531,Active,84,,,151.56,4.51835,155.046,154.454,145.179
17,11532874,6852379,Active,84,,,151.05,12.1625,146.038,139.314,167.811
18,56463163,11957695,Active,84,,,151.03,23.4168,126.179,144.487,182.409
19,56463505,11957479,Active,83,,,149.48,12.5509,166.877,137.722,143.852
20,26732634,9909521,Active,82,,,147.63,17.4674,137.113,172.25,133.539
21,49681595,49659,Active,80,,,145.09,15.84,122.692,156.005,156.576
